sentimiento,texto
positivo,Me encantó el diseño deportivo del nuevo Mazda 3.
positivo,El rendimiento del Toyota Corolla en carretera es excelente.
positivo,Mi Honda Civic nunca me ha fallado, lo recomiendo totalmente.
positivo,El interior del BMW X5 es lujoso y cómodo.
positivo,Me sorprendió la eficiencia de combustible del Kia Rio.
positivo,El Tesla Model 3 tiene una aceleración impresionante.
positivo,Me fascina cómo se siente conducir un Mercedes-Benz.
positivo,El sistema de sonido del Audi A4 es espectacular.
positivo,Muy satisfecho con mi compra del Chevrolet Onix.
positivo,El sistema de asistencia al conductor es muy útil y preciso.
negativo,El motor del Renault Logan suena muy forzado en subidas.
negativo,Tuve muchos problemas eléctricos con el Fiat Uno.
negativo,El aire acondicionado del Nissan March no enfría bien.
negativo,El servicio técnico de Ford fue decepcionante.
negativo,El consumo de gasolina del Jeep Grand Cherokee es exagerado.
negativo,Las piezas del Hyundai Accent son muy costosas.
negativo,El Chevrolet Spark se siente inseguro en carretera.
negativo,La suspensión del Suzuki Swift es muy dura para ciudad.
negativo,El auto vino con defectos de fábrica y no respondieron por garantía.
negativo,No recomendaría el Volkswagen Gol a nadie.
neutro,Mi auto es un Toyota del 2012.
neutro,Estoy considerando comprar un carro usado.
neutro,Fui a ver un Honda Civic pero aún no decido.
neutro,Me gusta más la caja automática que la manual.
neutro,"El vehículo tiene 100,000 kilómetros recorridos."
neutro,Vi una camioneta roja parqueada frente a mi casa.
neutro,El seguro del carro vence el próximo mes.
neutro,Comparé precios entre un Mazda y un Nissan.
neutro,El carro tiene rines de aleación de fábrica.
neutro,Vi varios carros en la feria automotriz.